model,family,feature_set,f1_micro_mean,f1_micro_std,f1_macro_mean,f1_macro_std,f1_weighted_mean,f1_weighted_std,f1_samples_mean,f1_samples_std,precision_micro_mean,precision_micro_std,precision_macro_mean,precision_macro_std,recall_micro_mean,recall_micro_std,recall_macro_mean,recall_macro_std,hamming_loss_mean,hamming_loss_std,subset_accuracy_mean,subset_accuracy_std,jaccard_samples_mean,jaccard_samples_std,LRAP_mean,LRAP_std,auc_micro_mean,auc_micro_std,f1_macro_locked,f1_micro_locked,cv_time_s
LogReg_bal,Linear,tfidf_word_12,0.4886,0.0049,0.3507,0.0064,0.485,0.005,0.4663,0.0055,0.4585,0.0069,0.3417,0.0049,0.523,0.0058,0.3754,0.0084,0.0837,0.0009,0.0442,0.0053,0.3472,0.0055,0.6187,0.0047,0.8997,0.0035,0.3493,0.4837,6.03
ComplementNB,NaiveBayes,tfidf_word_12,0.4529,0.004,0.2685,0.0026,0.4206,0.0025,0.425,0.0051,0.487,0.0093,0.345,0.0244,0.4234,0.0043,0.2543,0.0032,0.0782,0.0011,0.0561,0.0056,0.3192,0.0052,0.6043,0.0056,0.8833,0.0031,0.2617,0.4471,7.36
Chain_LinSVC,Chain,tfidf_word_12,0.4166,0.0045,0.2608,0.0043,0.3869,0.0043,0.3891,0.0034,0.5844,0.0083,0.4008,0.0199,0.3237,0.0042,0.2125,0.0041,0.0693,0.0007,0.0711,0.0065,0.2986,0.0034,0.5995,0.0051,0.8673,0.0028,0.2567,0.416,17.22
LinearSVC,Linear,tfidf_word_12,0.4162,0.0081,0.272,0.0042,0.3952,0.0071,0.3854,0.0085,0.5408,0.0094,0.4063,0.0172,0.3383,0.0084,0.2259,0.0051,0.0726,0.0008,0.058,0.0086,0.291,0.0078,0.5738,0.0034,0.845,0.0026,0.2615,0.4122,11.97
LogReg,Linear,tfidf_word_12,0.4043,0.0073,0.2495,0.0042,0.3768,0.0062,0.3674,0.006,0.614,0.0083,0.4049,0.0117,0.3014,0.0068,0.1953,0.0047,0.0679,0.0007,0.0696,0.0057,0.2824,0.0051,0.6213,0.0043,0.9006,0.0033,0.241,0.4008,18.3
Chain_LogReg,Chain,tfidf_word_12,0.3901,0.0014,0.229,0.0045,0.3551,0.0008,0.3595,0.0035,0.6259,0.0049,0.4281,0.0153,0.2834,0.0012,0.1761,0.0054,0.0677,0.0003,0.0771,0.0042,0.2793,0.0032,0.6238,0.0053,0.8996,0.0028,0.2233,0.3904,44.51
LightGBM,Boosting,lsa+stats,0.3626,0.0029,0.2275,0.0029,0.331,0.0034,0.3252,0.0033,0.6585,0.0195,0.4156,0.0176,0.2503,0.0034,0.1752,0.0029,0.0673,0.0006,0.0687,0.0051,0.2505,0.0036,0.6109,0.0102,0.8924,0.0029,0.2163,0.3499,451.46
Baseline_top3,Baseline,stats,0.3082,0.0023,0.0367,0.0002,0.1461,0.0019,0.3062,0.002,0.3034,0.0025,0.024,0.0002,0.3132,0.0025,0.0789,0.0,0.1075,0.0005,0.0048,0.0011,0.2083,0.0015,0.4093,0.003,0.8119,0.0043,0.0355,0.2945,0.0
RandomForest,Trees,lsa+stats,0.1358,0.0076,0.0736,0.0072,0.1213,0.0069,0.1125,0.0091,0.7692,0.011,0.3113,0.0419,0.0745,0.0045,0.047,0.0049,0.0725,0.0006,0.0233,0.0063,0.0846,0.0082,0.5784,0.0064,0.8855,0.0033,0.0742,0.1387,74.64
KNN,Instance,lsa+stats,0.1286,0.0034,0.0453,0.003,0.1079,0.0031,0.1082,0.0037,0.5274,0.0153,0.1571,0.0175,0.0733,0.0022,0.0295,0.002,0.0759,0.0006,0.0197,0.0016,0.0803,0.0026,0.4705,0.0083,0.8283,0.0034,0.0434,0.1275,2.38
