tag,f1,precision,recall,support
math,0.5714285714285714,0.5459057071960298,0.5994550408719346,734
greedy,0.6264760720944687,0.5662921348314607,0.7009735744089013,719
implementation,0.46741573033707867,0.40784313725490196,0.5473684210526316,570
dp,0.460573476702509,0.42269736842105265,0.5059055118110236,508
data structures,0.4989561586638831,0.4500941619585687,0.5597189695550351,427
constructive algorithms,0.5531914893617021,0.50682261208577,0.6088992974238876,427
brute force,0.27107061503416857,0.25481798715203424,0.2895377128953771,411
binary search,0.2942097026604069,0.26330532212885155,0.3333333333333333,282
sortings,0.3463338533541342,0.3016304347826087,0.4065934065934066,273
graphs,0.50187265917603,0.475177304964539,0.5317460317460317,252
dfs and similar,0.5175097276264592,0.5037878787878788,0.532,250
trees,0.7339449541284404,0.7111111111111111,0.7582938388625592,211
number theory,0.4986301369863014,0.5083798882681564,0.489247311827957,186
combinatorics,0.5876288659793815,0.5402843601895735,0.6440677966101694,177
strings,0.6580310880829016,0.5594713656387665,0.7987421383647799,159
bitmasks,0.46564885496183206,0.5545454545454546,0.40131578947368424,152
*special,0.3870967741935484,0.6086956521739131,0.28378378378378377,148
two pointers,0.21993127147766323,0.21052631578947367,0.2302158273381295,139
geometry,0.6844444444444444,0.6260162601626016,0.7549019607843137,102
dsu,0.21739130434782608,0.21739130434782608,0.21739130434782608,92
divide and conquer,0.10191082802547771,0.1111111111111111,0.09411764705882353,85
interactive,0.944,0.9833333333333333,0.9076923076923077,65
probabilities,0.544,0.5230769230769231,0.5666666666666667,60
games,0.6923076923076923,0.6338028169014085,0.7627118644067796,59
hashing,0.08888888888888889,0.11428571428571428,0.07272727272727272,55
shortest paths,0.20270270270270271,0.15789473684210525,0.2830188679245283,53
flows,0.05,0.1111111111111111,0.03225806451612903,31
fft,0.2553191489361702,0.3,0.2222222222222222,27
matrices,0.05128205128205128,0.08333333333333333,0.037037037037037035,27
graph matchings,0.0,0.0,0.0,22
string suffix structures,0.2127659574468085,0.18518518518518517,0.25,20
meet-in-the-middle,0.0,0.0,0.0,14
ternary search,0.0,0.0,0.0,14
expression parsing,0.23529411764705882,0.4,0.16666666666666666,12
2-sat,0.0,0.0,0.0,8
chinese remainder theorem,0.0,0.0,0.0,5
communication,0.3333333333333333,1.0,0.2,5
schedules,0.0,0.0,0.0,5
