band,n,mean_true,mean_pred,mae
"(799.999, 1000.0]",359,860.4456824512534,1226.221934762811,383.28228175500976
"(1000.0, 1200.0]",180,1154.4444444444443,1484.5528089472623,371.87618784326435
"(1200.0, 1400.0]",171,1349.7076023391812,1630.0608386803747,343.42469617008675
"(1400.0, 1600.0]",201,1548.7562189054727,1704.0982183847802,299.96657810867686
"(1600.0, 1800.0]",199,1748.2412060301508,1799.0633341612627,289.3290718034563
"(1800.0, 2000.0]",207,1945.4106280193237,1877.1324756276701,300.9304273872061
"(2000.0, 2200.0]",192,2152.0833333333335,2038.9835045126626,311.5539974144673
"(2200.0, 2400.0]",177,2352.5423728813557,2124.9211455231093,359.32070563745646
"(2400.0, 2600.0]",141,2544.68085106383,2156.054919120794,456.4823899014618
"(2600.0, 2900.0]",163,2787.730061349693,2261.488566324837,543.75619330664
"(2900.0, 3500.0]",184,3255.978260869565,2394.2846179899575,861.7016039939183
